"filename", "language", "C", "JSON with Comments", "YAML", "Assembly", "ARM", "Makefile", "XML", "Properties", "Batch", "Markdown", "CMake", "PowerShell", "Ini", "Python", "JSON", "Shell Script", "C++", "HTML", "JavaScript", "Linker Map file", "doxygen", "comment", "blank", "total"
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM0\startup_ARMCM0.s", "Assembly", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 160
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM0\system_ARMCM0.c", "C", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 9, 57
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM3\startup_ARMCM3.s", "Assembly", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 164
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM3\system_ARMCM3.c", "C", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 69
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM4_FP\startup_ARMCM4.s", "Assembly", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 164
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM4_FP\system_ARMCM4.c", "C", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 84
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM7_SP\startup_ARMCM7.s", "Assembly", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 164
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\Device\ARMCM7_SP\system_ARMCM7.c", "C", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 86
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\RTE\_ARMCM0\RTE_Components.h", "C", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 22
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\arm_class_marks_example.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"c:\Users\kafei\Desktop\工训物流\STM32F407STDLIB\AutomatedGuidedLogisticsHandlingVehicle-main\CMSIS\DSP\Examples\ARM\arm_class_marks_example\arm_class_marks_example_f32.c", "C", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 33, 212
